 00:00:00.000000 IP 10.0.2.15.47550 > 172.217.30.78.443: UDP, length 1252
 00:00:00.038594 IP 10.0.2.15.37448 > 172.217.30.78.443: UDP, length 32
 00:00:02.987523 IP 10.0.2.15.37448 > 172.217.30.78.443: UDP, length 1252
 00:00:00.000003 IP 10.0.2.15.37448 > 172.217.30.78.443: UDP, length 1252
 00:00:00.000000 IP 10.0.2.15.37448 > 172.217.30.78.443: UDP, length 719
 00:00:00.041523 IP 172.217.30.78.443 > 10.0.2.15.37448: UDP, length 30
 00:00:00.000383 IP 10.0.2.15.37448 > 172.217.30.78.443: UDP, length 31
 00:00:00.023266 IP 172.217.30.78.443 > 10.0.2.15.37448: UDP, length 27
 00:00:00.045151 IP 172.217.30.78.443 > 10.0.2.15.37448: UDP, length 727
 00:00:00.000523 IP 10.0.2.15.37448 > 172.217.30.78.443: UDP, length 36
 00:00:00.065156 IP 172.217.30.78.443 > 10.0.2.15.37448: UDP, length 27
 00:00:01.002102 IP 10.0.2.15.53618 > 172.217.28.206.443: UDP, length 1252
 00:00:00.000002 IP 10.0.2.15.53618 > 172.217.28.206.443: UDP, length 1070
 00:00:00.050657 IP 172.217.28.206.443 > 10.0.2.15.53618: UDP, length 32
 00:00:00.000530 IP 10.0.2.15.53618 > 172.217.28.206.443: UDP, length 33
 00:00:00.114315 IP 172.217.28.206.443 > 10.0.2.15.53618: UDP, length 703
 00:00:00.000001 IP 172.217.28.206.443 > 10.0.2.15.53618: UDP, length 37
 00:00:00.000001 IP 172.217.28.206.443 > 10.0.2.15.53618: UDP, length 175
 00:00:00.000812 IP 10.0.2.15.53618 > 172.217.28.206.443: UDP, length 38
 00:00:00.053096 IP 172.217.28.206.443 > 10.0.2.15.53618: UDP, length 28
 00:00:01.153075 IP 10.0.2.15.38492 > 172.217.30.78.443: Flags [P.], seq 3033554636:3033554675, ack 316417953, win 62289, length 39
 00:00:00.000415 IP 172.217.30.78.443 > 10.0.2.15.38492: Flags [.], ack 39, win 65535, length 0
 00:00:00.041704 IP 172.217.30.78.443 > 10.0.2.15.38492: Flags [P.], seq 1:40, ack 39, win 65535, length 39
 00:00:00.040299 IP 10.0.2.15.38492 > 172.217.30.78.443: Flags [.], ack 40, win 62250, length 0
 00:00:00.378950 IP 10.0.2.15.35702 > 172.217.29.138.443: UDP, length 29
 00:00:00.067134 IP 172.217.29.138.443 > 10.0.2.15.35702: UDP, length 28
 00:00:00.674410 IP 10.0.2.15.46097 > 177.124.186.254.53: 62309+ [1au] HTTPS? www.gstatic.com. (44)
 00:00:00.000594 IP 10.0.2.15.33267 > 177.124.186.254.53: 20709+ [1au] AAAA? www.gstatic.com. (44)
 00:00:00.006498 IP 177.124.186.254.53 > 10.0.2.15.46097: 62309 0/1/1 (101)
 00:00:00.000001 IP 177.124.186.254.53 > 10.0.2.15.33267: 20709 1/0/1 AAAA 2800:3f0:4001:808::2003 (72)
 00:00:03.752374 IP 10.0.2.15.34223 > 177.124.186.254.53: 13333+ [1au] HTTPS? gemini.google.com. (46)
 00:00:00.002366 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [S], seq 3231288285, win 64240, options [mss 1460,sackOK,TS val 2366096411 ecr 0,nop,wscale 7], length 0
 00:00:00.016545 IP 10.0.2.15.48327 > 177.124.186.254.53: 12276+ [1au] A? maps.googleapis.com. (48)
 00:00:00.000390 IP 10.0.2.15.41667 > 177.124.186.254.53: 27652+ [1au] AAAA? maps.googleapis.com. (48)
 00:00:00.002543 IP 10.0.2.15.33679 > 177.124.186.254.53: 50354+ [1au] HTTPS? maps.googleapis.com. (48)
 00:00:00.008919 IP 10.0.2.15.39915 > 177.124.186.254.53: 42992+ [1au] HTTPS? www.gstatic.com. (44)
 00:00:00.000435 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [S], seq 3256238230, win 64240, options [mss 1460,sackOK,TS val 2203504375 ecr 0,nop,wscale 7], length 0
 00:00:00.000819 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [S], seq 3290566504, win 64240, options [mss 1460,sackOK,TS val 2203504376 ecr 0,nop,wscale 7], length 0
 00:00:00.014187 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [S.], seq 323968001, ack 3231288286, win 65535, options [mss 1460], length 0
 00:00:00.000078 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [.], ack 1, win 64240, length 0
 00:00:00.007639 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [P.], seq 1:1903, ack 1, win 64240, length 1902
 00:00:00.000296 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [.], ack 1461, win 65535, length 0
 00:00:00.000000 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [.], ack 1903, win 65535, length 0
 00:00:00.016842 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [S.], seq 324032001, ack 3256238231, win 65535, options [mss 1460], length 0
 00:00:00.000071 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [.], ack 1, win 64240, length 0
 00:00:00.000821 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [P.], seq 1:1901, ack 1, win 64240, length 1900
 00:00:00.000393 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], ack 1461, win 65535, length 0
 00:00:00.000001 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], ack 1901, win 65535, length 0
 00:00:00.004970 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [S.], seq 324096001, ack 3290566505, win 65535, options [mss 1460], length 0
 00:00:00.000082 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [.], ack 1, win 64240, length 0
 00:00:00.000685 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [P.], seq 1:1901, ack 1, win 64240, length 1900
 00:00:00.000451 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [.], ack 1461, win 65535, length 0
 00:00:00.000001 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [.], ack 1901, win 65535, length 0
 00:00:00.009413 IP 10.0.2.15.47911 > 177.124.186.254.53: 45951+ [1au] A? accounts.google.com. (48)
 00:00:00.000203 IP 10.0.2.15.42420 > 177.124.186.254.53: 50905+ [1au] HTTPS? accounts.google.com. (48)
 00:00:00.000722 IP 10.0.2.15.57016 > 177.124.186.254.53: 54833+ [1au] AAAA? accounts.google.com. (48)
 00:00:00.003462 IP 177.124.186.254.53 > 10.0.2.15.47911: 45951 1/0/1 A 142.250.0.84 (64)
 00:00:00.000001 IP 177.124.186.254.53 > 10.0.2.15.42420: 50905 0/1/1 (98)
 00:00:00.000000 IP 177.124.186.254.53 > 10.0.2.15.57016: 54833 1/0/1 AAAA 2800:3f0:4003:c03::54 (76)
 00:00:00.001089 IP 10.0.2.15.57216 > 142.250.0.84.443: Flags [S], seq 2426900703, win 64240, options [mss 1460,sackOK,TS val 718799765 ecr 0,nop,wscale 7], length 0
 00:00:00.032391 IP 177.124.186.254.53 > 10.0.2.15.39915: 42992 0/1/1 (101)
 00:00:00.010315 IP 177.124.186.254.53 > 10.0.2.15.48327: 12276 16/0/1 A 172.217.29.202, A 172.217.29.234, A 172.217.30.10, A 172.217.162.170, A 172.217.162.234, A 172.217.172.138, A 172.217.172.42, A 172.217.172.170, A 142.250.79.202, A 142.251.133.74, A 142.251.133.202, A 172.217.29.42, A 172.217.29.74, A 172.217.29.106, A 172.217.29.138, A 172.217.29.170 (304)
 00:00:00.010169 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [.], seq 1:2881, ack 1903, win 65535, length 2880
 00:00:00.000066 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [.], ack 2881, win 65535, length 0
 00:00:00.000459 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [.], seq 2881:7201, ack 1903, win 65535, length 4320
 00:00:00.000007 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [.], ack 7201, win 65535, length 0
 00:00:00.003094 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [P.], seq 7201:7732, ack 1903, win 65535, length 531
 00:00:00.000055 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [.], ack 7732, win 65535, length 0
 00:00:00.005532 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [P.], seq 1903:1967, ack 7732, win 65535, length 64
 00:00:00.000443 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [.], ack 1967, win 65535, length 0
 00:00:00.001314 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [P.], seq 1967:2059, ack 7732, win 65535, length 92
 00:00:00.000096 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [P.], seq 2059:2324, ack 7732, win 65535, length 265
 00:00:00.000269 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [.], ack 2059, win 65535, length 0
 00:00:00.000001 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [.], ack 2324, win 65535, length 0
 00:00:00.003870 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], seq 1:2881, ack 1901, win 65535, length 2880
 00:00:00.000055 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [.], ack 2881, win 65535, length 0
 00:00:00.000459 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [P.], seq 2881:5222, ack 1901, win 65535, length 2341
 00:00:00.000007 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [.], ack 5222, win 65535, length 0
 00:00:00.008108 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [P.], seq 1901:1965, ack 5222, win 65535, length 64
 00:00:00.000327 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], ack 1965, win 65535, length 0
 00:00:00.000924 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [P.], seq 1965:2057, ack 5222, win 65535, length 92
 00:00:00.000269 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [P.], seq 2057:2748, ack 5222, win 65535, length 691
 00:00:00.000106 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], ack 2057, win 65535, length 0
 00:00:00.000001 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], ack 2748, win 65535, length 0
 00:00:00.007034 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [.], seq 1:2881, ack 1901, win 65535, length 2880
 00:00:00.000063 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [.], ack 2881, win 65535, length 0
 00:00:00.000339 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [P.], seq 2881:5223, ack 1901, win 65535, length 2342
 00:00:00.000006 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [.], ack 5223, win 65535, length 0
 00:00:00.003785 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [P.], seq 1901:1965, ack 5223, win 65535, length 64
 00:00:00.000310 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [.], ack 1965, win 65535, length 0
 00:00:00.001218 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [P.], seq 1965:2074, ack 5223, win 65535, length 109
 00:00:00.000248 IP 142.250.0.84.443 > 10.0.2.15.57216: Flags [S.], seq 324160001, ack 2426900704, win 65535, options [mss 1460], length 0
 00:00:00.000000 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [.], ack 2074, win 65535, length 0
 00:00:00.000017 IP 10.0.2.15.57216 > 142.250.0.84.443: Flags [.], ack 1, win 64240, length 0
 00:00:00.000302 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [P.], seq 2748:3299, ack 5222, win 65535, length 551
 00:00:00.000259 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], ack 3299, win 65535, length 0
 00:00:00.001576 IP 10.0.2.15.57216 > 142.250.0.84.443: Flags [P.], seq 1:1905, ack 1, win 64240, length 1904
 00:00:00.000301 IP 142.250.0.84.443 > 10.0.2.15.57216: Flags [.], ack 1461, win 65535, length 0
 00:00:00.000001 IP 142.250.0.84.443 > 10.0.2.15.57216: Flags [.], ack 1905, win 65535, length 0
 00:00:00.008420 IP 177.124.186.254.53 > 10.0.2.15.33679: 50354 0/1/1 (105)
 00:00:00.000001 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [P.], seq 7732:8348, ack 2324, win 65535, length 616
 00:00:00.000844 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [P.], seq 2324:2355, ack 8348, win 65535, length 31
 00:00:00.001256 IP 172.217.28.206.443 > 10.0.2.15.41846: Flags [P.], seq 8348:8379, ack 2355, win 65535, length 31
 00:00:00.012242 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [P.], seq 5222:5869, ack 3299, win 65535, length 647
 00:00:00.000867 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [P.], seq 3299:3330, ack 5869, win 65535, length 31
 00:00:00.000962 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [P.], seq 5869:6504, ack 3330, win 65535, length 635
 00:00:00.000001 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [P.], seq 6504:6653, ack 3330, win 65535, length 149
 00:00:00.000255 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [P.], seq 6653:6692, ack 3330, win 65535, length 39
 00:00:00.000900 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [.], ack 6692, win 65535, length 0
 00:00:00.000090 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [P.], seq 3330:3369, ack 6692, win 65535, length 39
 00:00:00.000249 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], ack 3369, win 65535, length 0
 00:00:00.013970 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [P.], seq 6692:6943, ack 3369, win 65535, length 251
 00:00:00.000001 IP 177.124.186.254.53 > 10.0.2.15.41667: 27652 4/0/1 AAAA 2800:3f0:4001:83b::200a, AAAA 2800:3f0:4001:83c::200a, AAAA 2800:3f0:4001:816::200a, AAAA 2800:3f0:4001:83a::200a (160)
 00:00:00.001207 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [P.], seq 5223:5839, ack 2074, win 65535, length 616
 00:00:00.001549 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [P.], seq 5839:5870, ack 2074, win 65535, length 31
 00:00:00.008468 IP 10.0.2.15.41846 > 172.217.28.206.443: Flags [.], ack 8379, win 65535, length 0
 00:00:00.005288 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [.], ack 5870, win 65535, length 0
 00:00:00.001748 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [P.], seq 2074:2098, ack 5870, win 65535, length 24
 00:00:00.000098 IP 10.0.2.15.52786 > 172.217.29.195.443: Flags [F.], seq 2098, ack 5870, win 65535, length 0
 00:00:00.000299 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [.], ack 2098, win 65535, length 0
 00:00:00.000000 IP 172.217.29.195.443 > 10.0.2.15.52786: Flags [.], ack 2099, win 65535, length 0
 00:00:00.002907 IP 177.124.186.254.53 > 10.0.2.15.34223: 13333 0/1/1 (96)
 00:00:00.001375 IP 10.0.2.15.50630 > 172.217.29.202.443: Flags [S], seq 1090251608, win 64240, options [mss 1460,sackOK,TS val 2096767024 ecr 0,nop,wscale 7], length 0
 00:00:00.000378 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [P.], seq 3369:3408, ack 6943, win 65535, length 39
 00:00:00.000150 IP 10.0.2.15.58215 > 172.217.29.195.443: UDP, length 1252
 00:00:00.000001 IP 10.0.2.15.58215 > 172.217.29.195.443: UDP, length 1252
 00:00:00.000000 IP 10.0.2.15.58215 > 172.217.29.195.443: UDP, length 1252
 00:00:00.000712 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [P.], seq 3408:3432, ack 6943, win 65535, length 24
 00:00:00.000634 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], ack 3432, win 65535, length 0
 00:00:00.005756 IP 10.0.2.15.52780 > 172.217.29.195.443: Flags [F.], seq 3432, ack 6943, win 65535, length 0
 00:00:00.000590 IP 172.217.29.195.443 > 10.0.2.15.52780: Flags [.], ack 3433, win 65535, length 0

